,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
0,AVANTE,,NA,1781.0200000000002
1,DEM,,NA,14707.35
2,LID.GOV-CD,,NA,12065.54
3,LID.GOV-CN,,NA,3682.12
4,LIDERANÇA DO PSDB,,NA,94857.80000000003
5,LIDERANÇA DO PT,,NA,308096.0000000001
6,PDT,,NA,97351.82
7,PHS,,NA,920.83
8,PODE,,NA,73536.64999999997
9,PROS,,NA,63731.340000000004
10,PSD,,NA,24502.25
11,PSOL,,NA,16160.0
12,SDD,,NA,42968.16
13,SILVIO COSTA,AVANTE,PE,497548.45999999985
14,IZALCI LUCAS,PSDB,DF,369020.46999999956
15,DANILO FORTE,PSDB,CE,511489.2800000002
16,MARIA HELENA,MDB,RR,533031.3699999985
17,NORMA AYUB,DEM,ES,299618.9799999997
18,FAUSTO PINATO,PP,SP,423524.87999999936
19,IRACEMA PORTELLA,PP,PI,406480.37999999896
20,JÚLIA MARINHO,PSC,PA,284564.1400000002
21,BACELAR,PODE,BA,398786.4000000004
22,FELIPE CARRERAS,PSB,PE,134566.17999999996
23,CELSO PANSERA,PT,RJ,427635.61
24,SIMÃO SESSIM,PP,RJ,427415.13
25,ARLINDO CHINAGLIA,PT,SP,545289.5800000003
26,ARNALDO FARIA DE SÁ,PP,SP,159595.62999999998
27,BETO MANSUR,MDB,SP,454551.78999999975
28,CELSO RUSSOMANNO,PRB,SP,247647.3000000004
29,ALEX CANZIANI,PTB,PR,473062.52999999764
30,OSMAR SERRAGLIO,PP,PR,436929.0299999988
31,RUBENS BUENO,CIDADANIA,PR,274555.69000000024
32,HENRIQUE FONTANA,PT,RS,469089.66000000166
33,LUIS CARLOS HEINZE,PP,RS,319865.8799999995
34,POMPEO DE MATTOS,PDT,RS,485568.6799999999
35,IVAN VALENTE,PSOL,SP,296831.74999999936
36,JORGE TADEU MUDALEN,DEM,SP,355517.4900000021
37,NELSON MARQUEZELLI,PTB,SP,447791.17000000033
38,SILVIO TORRES,PSDB,SP,263161.44999999955
39,CELSO JACOB,MDB,RJ,198302.8099999999
40,ALBERTO FRAGA,DEM,DF,373434.87999999995
41,ANTONIO CARLOS MENDES THAME,PV,SP,278708.19
42,JÚLIO DELGADO,PSB,MG,401000.2799999949
43,AUGUSTO CARVALHO,SOLIDARIEDADE,DF,291707.53
44,JOVAIR ARANTES,PTB,GO,419743.1599999996
45,ROBERTO BALESTRA,PP,GO,281615.5400000001
46,OSMAR TERRA,MDB,RS,321359.0999999999
47,BENEDITA DA SILVA,PT,RJ,435801.54999999935
48,JOSÉ REINALDO,PSDB,MA,502427.6099999991
49,CESAR SOUZA,PSD,SC,409994.1700000004
50,DILCEU SPERAFICO,PP,PR,115760.08999999998
51,HERMES PARCIANELLO,MDB,PR,445497.78999999934
52,LUIZ CARLOS HAULY,PSDB,PR,317479.61000000016
53,NELSON MEURER,PP,PR,462826.5599999975
54,REINHOLD STEPHANES,PSD,PR,253952.9300000006
55,RICARDO BARROS,PP,PR,315653.6399999994
56,ROBERTO FREIRE,PPS,SP,77935.04999999999
57,SÉRGIO BRITO,PSD,BA,465286.1500000014
58,DARCÍSIO PERONDI,MDB,RS,397759.1900000001
59,JANETE CAPIBERIBE,PSB,AP,425427.69999999966
60,WLADIMIR COSTA,SOLIDARIEDADE,PA,499286.18999999895
61,ZÉ GERALDO,PT,PA,505517.3099999994
62,CARLOS SOUZA,PSDB,AM,147968.99000000005
63,YEDA CRUSIUS,PSDB,RS,366307.26
64,VALDIR COLATTO,MDB,SC,408793.97000000003
65,PAULO FEIJÓ,PR,RJ,429202.80999999976
66,BENJAMIN MARANHÃO,MDB,PB,493415.48999999906
67,LUIZ COUTO,PT,PB,468757.9200000016
68,WELLINGTON ROBERTO,PL,PB,501640.0700000003
69,MAURÍCIO QUINTELLA LESSA,PR,AL,82949.5799999999
70,ALICE PORTUGAL,PCdoB,BA,466529.8800000006
71,DANIEL ALMEIDA,PCdoB,BA,477100.83000000083
72,ELCIONE BARBALHO,MDB,PA,493047.31
73,JOSÉ PRIANTE,MDB,PA,322744.3799999998
74,ÁTILA LINS,PP,AM,436611.7399999994
75,PAUDERNEY AVELINO,DEM,AM,450721.67999999935
76,ARIOSTO HOLANDA,PDT,CE,60844.42999999999
77,JOSÉ CARLOS ARAÚJO,PR,BA,457621.9500000007
78,JOSIAS GOMES,PT,BA,327787.8699999998
79,LEONARDO MONTEIRO,PT,MG,433760.2899999999
80,MÁRIO HERINGER,PDT,MG,377934.849999999
81,ODAIR CUNHA,PT,MG,239283.55999999994
82,PATRUS ANANIAS,PT,MG,412957.6900000005
83,REGINALDO LOPES,PT,MG,348881.45999999985
84,CARLOS MANATO,PSL,ES,503414.609999999
85,CHICO ALENCAR,PSOL,RJ,303369.7599999997
86,DELEY,PTB,RJ,433846.2699999996
87,MARINHA RAUPP,MDB,RO,530692.599999999
88,FREIRE JÚNIOR,MDB,TO,189416.96000000008
89,SARNEY FILHO,PV,MA,138390.5199999999
90,ANÍBAL GOMES,DEM,CE,499805.4400000002
91,ANTONIO BALHMANN,PDT,CE,244375.42999999961
92,RAIMUNDO GOMES DE MATOS,PSDB,CE,507248.4700000009
93,MARCUS VICENTE,PP,ES,383198.17
94,JULIO LOPES,PP,RJ,435972.6299999992
