,nomeParlamentar,siglaPartido,siglaUF,valorLiquido
0,LID.GOV-CD,,NA,16194.099999999999
1,LID.GOV-CN,,NA,4410.23
2,LIDERANÇA DO PSDB,,NA,129002.50999999995
3,LIDERANÇA DO PT,,NA,294217.2300000001
4,PDT,,NA,94198.59
5,PHS,,NA,12118.81
6,PODE,,NA,40351.130000000005
7,PROS,,NA,40729.6
8,PSOL,,NA,29296.0
9,PTN,,NA,11078.11
10,SDD,,NA,74806.91
11,SILVIO COSTA,AVANTE,PE,503544.6600000002
12,IZALCI LUCAS,PSDB,DF,370035.51000000007
13,DANILO FORTE,PSDB,CE,514991.4800000002
14,MARIA HELENA,MDB,RR,555898.8300000002
15,NORMA AYUB,DEM,ES,354977.30000000016
16,FAUSTO PINATO,PP,SP,450976.6699999996
17,IRACEMA PORTELLA,PP,PI,490381.7100000009
18,JÚLIA MARINHO,PSC,PA,393678.5199999998
19,BACELAR,PODE,BA,465680.31000000006
20,FELIPE CARRERAS,PSB,PE,5686.33
21,CELSO PANSERA,PT,RJ,434402.57999999874
22,SIMÃO SESSIM,PP,RJ,429250.9000000008
23,ARLINDO CHINAGLIA,PT,SP,432735.56000000006
24,ARNALDO FARIA DE SÁ,PP,SP,159350.11000000002
25,BETO MANSUR,MDB,SP,444358.9999999993
26,CELSO RUSSOMANNO,PRB,SP,275230.6199999991
27,ALEX CANZIANI,PTB,PR,467840.9900000006
28,OSMAR SERRAGLIO,PP,PR,323081.16000000027
29,RUBENS BUENO,CIDADANIA,PR,358247.4399999996
30,HENRIQUE FONTANA,PT,RS,498807.6600000013
31,LUIS CARLOS HEINZE,PP,RS,390871.1699999995
32,POMPEO DE MATTOS,PDT,RS,490778.67000000214
33,IVAN VALENTE,PSOL,SP,321354.5699999995
34,JORGE TADEU MUDALEN,DEM,SP,337319.48000000016
35,NELSON MARQUEZELLI,PTB,SP,460020.3399999999
36,SILVIO TORRES,PSDB,SP,286081.1599999996
37,CELSO JACOB,MDB,RJ,283499.04999999993
38,ALBERTO FRAGA,DEM,DF,385613.2800000003
